name	color	url
Multi Logo Tee	Heather Grey	https://www.supremenewyork.com/shop/t-shirts/z70fig23e/m76c5foyb
Multi Logo Tee	White	https://www.supremenewyork.com/shop/t-shirts/z70fig23e/espto45ax
Multi Logo Tee	Light Pink	https://www.supremenewyork.com/shop/t-shirts/z70fig23e/v6q805evx
Multi Logo Tee	Black	https://www.supremenewyork.com/shop/t-shirts/z70fig23e/icbfu4ml8
Multi Logo Tee	Red	https://www.supremenewyork.com/shop/t-shirts/z70fig23e/qhmwa12r9
Multi Logo Tee	Dark Teal	https://www.supremenewyork.com/shop/t-shirts/z70fig23e/g08ukomar
Nuova York Tee	White	https://www.supremenewyork.com/shop/t-shirts/zxeckjhos/f20jcbvdo
Nuova York Tee	Black	https://www.supremenewyork.com/shop/t-shirts/zxeckjhos/aaok6pcn8
Nuova York Tee	Orange	https://www.supremenewyork.com/shop/t-shirts/zxeckjhos/slsct2g6w
Nuova York Tee	Navy	https://www.supremenewyork.com/shop/t-shirts/zxeckjhos/fktjalyh8
Nuova York Tee	Natural	https://www.supremenewyork.com/shop/t-shirts/zxeckjhos/qoc47k9qh
Nuova York Tee	Woodland Camo	https://www.supremenewyork.com/shop/t-shirts/zxeckjhos/zqb7hvey6
Nuova York Tee	Light Pink	https://www.supremenewyork.com/shop/t-shirts/zxeckjhos/gogbdum1s
